                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.88567,                0.61373,                 1.0474,                0.82008,                 0.6697,                0.77205,                0.49692,                 1.3576,                 1.0361,                 1.3687,               0.000614,               0.000614,               0.000614
                     73,                 0.8996,                 0.6211,                 1.0556,                0.81273,                0.67273,                0.76928,                0.49685,                 1.3366,                0.98122,                  1.387,              0.0005942,              0.0005942,              0.0005942
                     74,                0.94925,                0.66274,                 1.1157,                0.80947,                0.69697,                0.77868,                0.49892,                 1.3778,                 1.0773,                 1.4297,              0.0005744,              0.0005744,              0.0005744
                     75,                0.92838,                0.73792,                 1.1085,                0.81117,                0.70294,                0.78292,                0.49138,                 1.3346,                 1.0043,                 1.3816,              0.0005546,              0.0005546,              0.0005546
                     76,                0.90066,                0.63492,                 1.0535,                0.81281,                 0.6697,                0.78527,                0.49255,                 1.3563,                0.99487,                 1.3848,              0.0005348,              0.0005348,              0.0005348
                     77,                0.91657,                0.62938,                 1.0852,                 0.8296,                0.67866,                0.77343,                0.49287,                 1.3535,                  1.049,                 1.3767,               0.000515,               0.000515,               0.000515
                     78,                 0.8395,                0.56982,                 1.0204,                0.82692,                0.66597,                0.75694,                0.49411,                 1.3379,                 1.0647,                 1.3807,              0.0004952,              0.0004952,              0.0004952
                     79,                0.84534,                0.56796,                 1.0236,                0.82012,                  0.677,                0.76358,                0.50336,                 1.3334,                 1.1405,                 1.3712,              0.0004754,              0.0004754,              0.0004754
                     80,                0.82392,                0.55282,                 1.0197,                0.80519,                0.69697,                0.77202,                0.50954,                 1.3161,                 1.1005,                 1.3644,              0.0004556,              0.0004556,              0.0004556
                     81,                0.82241,                0.59484,                 1.0325,                0.84093,                0.67281,                0.76993,                0.49998,                 1.3577,                  1.039,                 1.3998,              0.0004358,              0.0004358,              0.0004358
                     82,                0.81894,                0.57199,                  1.021,                0.79438,                    0.7,                0.78876,                0.51405,                 1.3243,                 1.0443,                 1.3524,               0.000416,               0.000416,               0.000416
                     83,                0.84816,                0.56222,                 1.0359,                0.83965,                0.68231,                 0.7852,                0.50472,                 1.3381,                 1.0802,                 1.3789,              0.0003962,              0.0003962,              0.0003962
                     84,                0.80436,                0.57531,                  1.022,                0.82147,                0.69719,                0.77933,                0.50509,                 1.3045,                 1.0445,                 1.3655,              0.0003764,              0.0003764,              0.0003764
                     85,                0.80255,                0.52705,                 1.0215,                 0.7901,                0.69579,                0.77494,                0.50615,                 1.3126,                 1.0611,                 1.3719,              0.0003566,              0.0003566,              0.0003566
                     86,                0.83996,                0.55203,                 1.0464,                0.85542,                0.68485,                0.79058,                0.50369,                 1.3379,                 1.0222,                  1.385,              0.0003368,              0.0003368,              0.0003368
                     87,                0.80392,                0.54393,                 1.0134,                0.85484,                0.68788,                0.79241,                0.50767,                  1.325,                 1.0138,                 1.3737,               0.000317,               0.000317,               0.000317
                     88,                0.80767,                0.52739,                  1.014,                0.82116,                0.69697,                 0.7914,                0.51078,                 1.3001,                 1.0477,                 1.3608,              0.0002972,              0.0002972,              0.0002972
                     89,                0.79254,                0.55061,                 1.0206,                0.82423,                0.72472,                 0.7877,                0.51399,                 1.3161,                 1.0572,                 1.3745,              0.0002774,              0.0002774,              0.0002774
                     90,                0.78856,                0.50946,                 1.0086,                0.83956,                0.69773,                0.77912,                0.51179,                 1.3105,                  1.046,                  1.372,              0.0002576,              0.0002576,              0.0002576
                     91,                0.75107,                0.54186,                0.97119,                 0.8513,                 0.6697,                0.76256,                0.50303,                 1.3091,                 1.1115,                 1.3821,              0.0002378,              0.0002378,              0.0002378
                     92,                0.72382,                0.47319,                0.95972,                0.85738,                0.65582,                 0.7615,                0.50072,                 1.3096,                 1.1035,                  1.372,               0.000218,               0.000218,               0.000218
                     93,                0.71841,                0.50532,                0.94445,                0.85252,                0.65455,                0.77255,                0.50776,                 1.3089,                 1.0717,                 1.3792,              0.0001982,              0.0001982,              0.0001982
                     94,                 0.7121,                0.44033,                0.94399,                0.82333,                0.67788,                0.77536,                0.51233,                 1.3143,                 1.0727,                 1.3794,              0.0001784,              0.0001784,              0.0001784
                     95,                0.67022,                0.41424,                0.92925,                0.81174,                0.70557,                0.77282,                0.50992,                 1.3206,                 1.0832,                 1.3904,              0.0001586,              0.0001586,              0.0001586
                     96,                0.68476,                 0.4221,                0.95647,                0.80517,                    0.7,                0.78034,                0.51479,                 1.3328,                 1.0865,                 1.4085,              0.0001388,              0.0001388,              0.0001388
                     97,                0.64436,                0.39414,                0.91082,                0.83249,                0.67768,                0.77815,                0.51779,                 1.3134,                 1.0938,                 1.3842,               0.000119,               0.000119,               0.000119
                     98,                0.67167,                0.39678,                0.96537,                0.86535,                0.65152,                0.78003,                0.51745,                    1.3,                 1.1018,                 1.3711,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.63324,                0.37926,                0.91024,                 0.8489,                0.68788,                0.77657,                0.51726,                 1.2996,                 1.1124,                 1.3691,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.63741,                0.38268,                0.91766,                0.85989,                0.67576,                0.77511,                0.51701,                 1.2857,                 1.1066,                 1.3608,               5.96e-05,               5.96e-05,               5.96e-05
